Galaxy,r_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,source_file,line_no,n_columns,D_Mpc,Inc_deg,L36_Lsun,MHI_Msun,Mbar_Msun,gas_fraction,Rdisk_kpc,SBdisk_Lsun_pc2,Vflat_kms,Q,Vbar2_kms2,Vbar_kms,Vobs2_kms2,C_kms2,g_obs_m_s2,g_bar_m_s2,D_DM,log_g_obs,log_g_bar,log_D_DM,valid_acceleration,g_rar_pred_m_s2,log_g_rar_pred,rar_residual_dex,baryon_only_residual_dex
DDO064,1.09,26.5,4.62,4.97,16.41,0.0,11.73,0.0,DDO064_rotmod.dat,9,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,159.34494999999998,12.6231909594999,702.25,542.9050500000001,2.0879240880846838e-11,4.737631319610531e-12,4.407105465218697,-10.680285295289146,-11.32443873890423,0.6441534436150833,True,2.7599090152874236e-11,-10.5591052348949,-0.121180060394245,0.6441534436150835
DDO064,1.29,35.3,4.62,9.29,17.34,0.0,10.3,0.0,DDO064_rotmod.dat,10,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,236.64189999999996,15.383169374351956,1246.0899999999997,1009.4480999999997,3.1304671820028905e-11,5.944993554533056e-12,5.265720060564086,-10.504390844745743,-11.225848611900167,0.7214577671544246,True,3.125661533089377e-11,-10.505058051995032,0.000667207249289703,0.7214577671544244
DDO064,1.48,40.5,4.62,13.62,18.34,0.0,7.96,0.0,DDO064_rotmod.dat,11,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,353.68219999999997,18.806440386208124,1640.25,1286.5678,3.591681236156162e-11,7.744634789223781e-12,4.637637969906318,-10.444702214187759,-11.11099905728044,0.6662968430926806,True,3.6190887078249924e-11,-10.44140077172829,-0.0033014424594686176,0.666296843092681
DDO064,1.68,44.2,4.89,16.26,19.12,0.0,6.72,0.0,DDO064_rotmod.dat,12,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,447.1748000000001,21.14650798595362,1953.6400000000003,1506.4652,3.7686405065655297e-11,8.626159705960875e-12,4.368850838642962,-10.423815288249818,-11.064182505525162,0.6403672172753453,True,3.8440036185177815e-11,-10.415216212184147,-0.00859907606567134,0.6403672172753438
DDO064,1.88,46.3,4.62,18.16,19.54,0.0,3.97,0.0,DDO064_rotmod.dat,13,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,520.6913999999999,22.818663413968835,2143.6899999999996,1622.9985999999997,3.695333061164357e-11,8.975776092083997e-12,4.117006733739026,-10.432346412449911,-11.04692798977611,0.6145815773261987,True,3.930709044654341e-11,-10.405529101938662,-0.026817310511249914,0.6145815773261987
DDO064,2.08,46.4,4.62,19.64,19.1,0.0,2.84,0.0,DDO064_rotmod.dat,14,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,568.1346000000001,23.835574253623513,2152.96,1584.8254,3.3544558552894904e-11,8.851917525465186e-12,3.789524524646096,-10.474377919075138,-11.052962641107435,0.5785847220322973,True,3.900143680437839e-11,-10.40891939336532,-0.06545852570981836,0.5785847220322964
DDO064,2.27,46.3,4.62,20.17,18.77,0.0,2.16,0.0,DDO064_rotmod.dat,15,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,582.98535,24.145089562890423,2143.6899999999996,1560.7046499999997,3.060452050655943e-11,8.323025763565968e-12,3.67709068504037,-10.514214420379355,-11.079718761025202,0.5655043406458469,True,3.767718244952007e-11,-10.423921581791522,-0.09029283858783366,0.5655043406458464
DDO064,2.37,46.4,6.73,20.59,18.61,0.0,1.86,0.0,DDO064_rotmod.dat,16,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,597.11415,24.435919258337716,2152.96,1555.8458500000002,2.94399501223719e-11,8.165042914574582e-12,3.6056087433198494,-10.53106293012248,-11.088041528316909,0.5569785981944277,True,3.72753312933869e-11,-10.428578487962145,-0.10248444216033548,0.5569785981944282
DDO064,2.98,46.9,8.65,22.17,17.21,0.0,0.0,0.0,DDO064_rotmod.dat,17,8,6.8,60.0,157000000.0,211000000.0,359130000.0,0.7814162002617436,0.69,151.65,46.1,1,639.6009500000001,25.290333133432625,2199.6099999999997,1560.0090499999997,2.3920974942465505e-11,6.9557231955333596e-12,3.4390349170056735,-10.621221123868226,-11.157657709165642,0.536436585297415,True,3.409118068136357e-11,-10.467357957570707,-0.15386316629751917,0.536436585297416
DDO154,0.49,13.8,1.6,3.74,12.31,0.0,15.93,0.0,DDO154_rotmod.dat,4,8,4.04,64.0,53000000.0,275000000.0,392250000.0,0.9324410452517528,0.37,71.26,47.0,2,89.75565,9.473945851650198,190.44000000000003,100.68435000000002,1.2595387915954794e-11,5.936290849604431e-12,2.121760579974631,-10.89978845244818,-11.226484828873938,0.3266963764257593,True,3.1231401582487197e-11,-10.505408525347724,-0.3943799271004558,0.3266963764257582
