Galaxy,r_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_kms,Vbul_kms,SBdisk,SBbul,source_file,line_no,n_columns,D_Mpc,Inc_deg,L36_Lsun,MHI_Msun,Mbar_Msun,gas_fraction,Rdisk_kpc,SBdisk_Lsun_pc2,Vflat_kms,Q,Vbar2_kms2,Vbar_kms,Vobs2_kms2,C_kms2,g_obs_m_s2,g_bar_m_s2,D_DM,log_g_obs,log_g_bar,log_D_DM,valid_acceleration,g_rar_pred_m_s2,log_g_rar_pred,rar_residual_dex,baryon_only_residual_dex,F_disk_kernel_lam_0p25,log_F_disk_kernel_lam_0p25,F_disk_kernel_lam_0p5,log_F_disk_kernel_lam_0p5,F_disk_kernel_lam_0p75,log_F_disk_kernel_lam_0p75,F_disk_kernel_lam_1p0,log_F_disk_kernel_lam_1p0,F_disk_kernel_lam_1p5,log_F_disk_kernel_lam_1p5
UGC09133,11.04,288.0,5.02,25.23,239.18,177.32,102.81,0.0,UGC09133_rotmod.dat,35,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,51249.756779999996,226.38409126968264,82944.0,31694.243220000004,2.4348115705042884e-10,1.5044307097978711e-10,1.6184271928558407,-9.613534643096857,-9.822627809948102,0.20909316685124602,True,2.3004097990499876e-10,-9.638194791107232,0.024660148010374527,0.20909316685124502,147.4799145506835,2.168732877305537,181.3007914480927,2.2583996999630713,199.30693970216424,2.299522420737041,210.31417322192286,2.322868541086989,223.5885350971546,2.349449530557425
UGC09133,11.36,288.0,3.39,25.74,237.64,174.8,97.25,0.0,UGC09133_rotmod.dat,36,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,50287.460399999996,224.2486575210652,82944.0,32656.539600000004,2.3662253290816324e-10,1.4346000016115638e-10,1.64939727200859,-9.625943901078676,-9.843269173012715,0.2173252719340384,True,2.2233185294558597e-10,-9.652998312525918,0.027054411447242188,0.2173252719340386,140.96010006807796,2.1490961993752844,175.62772672608745,2.2445930799845324,194.32060315043103,2.2885188498029274,205.9268427670747,2.313712961022074,220.1131617090699,2.3426460120523105
UGC09133,11.67,288.0,10.7,26.35,236.26,172.47,92.94,0.0,UGC09133_rotmod.dat,37,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,49425.84693,222.319245523189,82944.0,33518.15307,2.303369300631306e-10,1.3725643624163782e-10,1.6781503029674034,-9.637636425749047,-9.862467281422937,0.22483085567389088,True,2.154315373694427e-10,-9.666690719315906,0.02905429356685829,0.22483085567388983,135.61342858789303,2.1323026959681286,170.68722794900125,2.2322010252811473,189.87971042248492,2.2784785607226823,201.9785264554687,2.305305199458395,216.95535818045698,2.3363703804365135
UGC09133,13.57,285.0,4.07,29.02,230.28,159.94,69.68,0.0,UGC09133_rotmod.dat,38,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,45263.16212,212.75140920802383,81225.0,35961.83788,1.939810595321434e-10,1.08097213244848e-10,1.7945056464384728,-9.712240672864855,-9.966185502050253,0.25394482918539857,True,1.822071359863224e-10,-9.739434618258768,0.027193945393912955,0.2539448291853983,105.49853499568064,2.0232464288497356,143.3754951707996,2.1564749308191726,165.54602478149707,2.2189187566000896,180.42508475993563,2.256296917992334,199.7470325094342,2.3004803360493535
UGC09133,13.88,284.0,8.92,29.38,229.01,158.15,65.64,0.0,UGC09133_rotmod.dat,39,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,44593.970199999996,211.17284437161894,80656.0,36062.029800000004,1.8832009680794285e-10,1.0412047194399075e-10,1.8086750212700284,-9.725103331246899,-9.982463872043724,0.25736054079682447,True,1.7755423896235177e-10,-9.75066895481276,0.025565623565860562,0.25736054079682447,101.44960660661636,2.0062503672993106,139.4721307387206,2.1444874357417842,162.04379004283976,2.2096323923456795,177.3163642284388,2.2487488177563595,197.25820406911458,2.295035074785648
UGC09133,14.2,284.0,5.69,29.84,228.03,156.35,61.84,0.0,UGC09133_rotmod.dat,40,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,44000.991799999996,209.76413373119817,80656.0,36655.008200000004,1.8407626364043996e-10,1.004207767186277e-10,1.8330495904867312,-9.73500220951112,-9.9981764238369,0.263174214325782,True,1.7319396470145408e-10,-9.761467245936013,0.026465036424893285,0.26317421432578136,98.10296445038269,1.9916821309782262,135.9170791664918,2.133274033051211,158.74892797734427,2.200710801207504,174.35014172347425,2.2414223047357855,194.85386862272236,2.289709032683609
UGC09133,16.61,278.0,9.14,32.61,219.86,144.57,45.35,0.0,UGC09133_rotmod.dat,41,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,39862.961330000006,199.65710939007408,77284.0,37421.038669999994,1.5078891427177503e-10,7.777667639625868e-11,1.9387420658544428,-9.82163058583738,-10.109150619347535,0.28752003351015404,True,1.4571276570794407e-10,-9.836502398582406,0.014871812745026247,0.2875200335101553,75.02149436141171,1.8751857106604963,111.99911844584841,2.0492146043165187,136.72608784372363,2.135851387469217,154.5666458831161,2.1891157827794507,178.82320696523243,2.252423879129529
UGC09133,19.35,273.0,6.1,35.69,212.46,133.94,26.39,0.0,UGC09133_rotmod.dat,42,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,36401.348419999995,190.7913740712614,74529.0,38127.651580000005,1.2482275951576178e-10,6.096575507358364e-11,2.0474241541846707,-9.903706220495556,-10.214914043001674,0.3112078225061178,True,1.241302470003613e-10,-9.906122380428958,0.002416159933401829,0.3112078225061179,51.619715760311415,1.712815608807847,88.67331611709812,1.9477929500845383,115.62031206108026,2.063034137208464,135.73355102242675,2.1326872111298862,163.62188777783277,2.213841399001024
UGC09133,22.19,269.0,2.26,39.89,201.82,125.08,19.6,0.0,UGC09133_rotmod.dat,43,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,32908.37278,181.4066503191104,72361.0,39452.62722,1.0568095095244871e-10,4.806163720357759e-11,2.1988628998385864,-9.97600328744933,-10.318201439184035,0.3421981517347046,True,1.0654244262563978e-10,-9.972477350664796,-0.003525936784534167,0.3421981517347046,34.554980914879586,1.5385106574391283,69.49340910302895,1.8419436171668262,97.80330889897346,1.9903535481644525,119.65894871119477,2.077945182937478,150.52143023240308,2.1775983362694684
UGC09133,24.92,265.0,1.32,44.61,194.49,118.03,14.04,0.0,UGC09133_rotmod.dat,44,8,57.1,53.0,282926000000.0,33427999999.999996,185922240000.0,0.23912814303442126,6.97,864.63,226.8,1,30654.988780000003,175.08566126327995,70225.0,39570.01122,9.132573258476346e-11,3.986599227783844e-11,2.2908179971612435,-10.039406835335654,-10.399397421701652,0.3599905863659972,True,9.471187788519706e-11,-10.023595552395685,-0.015811282939969473,0.35999058636599734,23.72231067288284,1.37515698922879,55.29284782856282,1.7426689586198618,83.95103054576894,1.9240260317140172,106.89471508672841,2.0289562340637057,139.93502495121876,2.145926429568686
