Galaxy,T,D_Mpc,e_D_Mpc,f_D,Inc_deg,e_Inc_deg,L36_1e9_Lsun,e_L36_1e9_Lsun,Reff_kpc,SBeff_Lsun_pc2,Rdisk_kpc,SBdisk_Lsun_pc2,MHI_1e9_Msun,RHI_kpc,Vflat_kms,e_Vflat_kms,Q,Ref,L36_Lsun,e_L36_Lsun,MHI_Msun,Mstar_Msun,Mgas_Msun,Mbar_Msun,gas_fraction,has_Vflat,valid_BTFR_basic
IC4202,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,179749000000.0,3311000000.0,12326000000.0,89874500000.0,16393580000.0,106268080000.0,0.15426626697311177,True,True
KK98-251,10,6.8,2.04,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,85000000.0,7000000.0,115000000.0,42500000.0,152950000.0,195450000.0,0.7825530826298286,True,True
NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",3889000000.0,36000000.0,676000000.0,1944500000.0,899080000.0,2843580000.0,0.3161789012442062,True,True
NGC0055,9,2.11,0.11,2,77.0,3.0,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5.0,2,"Sa96,Pu91",4628000000.0,13000000.0,1565000000.0,2314000000.0,2081450000.0,4395450000.0,0.4735465083211048,True,True
NGC0100,6,13.5,4.05,1,89.0,1.0,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,"dB02,Rh96",3232000000.0,63000000.0,1990000000.0,1616000000.0,2646700000.0,4262700000.0,0.620897553193985,True,True
NGC0247,7,3.7,0.19,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,"Sa96,Ca90",7332000000.0,27000000.0,1746000000.0,3666000000.0,2322180000.0,5988180000.0,0.3877939540895564,True,True
NGC0289,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,72065000000.0,465000000.0,27469000000.0,36032500000.0,36533770000.0,72566270000.0,0.503453877400616,True,True
NGC0300,7,2.08,0.1,2,42.0,10.0,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7.0,2,"Sa96,CP90",2922000000.0,8000000.0,936000000.0,1461000000.0,1244880000.0,2705880000.0,0.46006474788238944,True,True
NGC0801,5,80.7,8.07,1,80.0,1.0,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,"Sa96,Br92",312570000000.0,3455000000.0,23201000000.0,156285000000.0,30857330000.0,187142330000.0,0.1648869606357899,True,True
NGC0891,3,9.91,0.5,2,90.0,1.0,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,138340000000.0,255000000.0,4462000000.0,69170000000.0,5934460000.0,75104460000.0,0.07901607973747497,True,True
NGC1003,6,11.4,3.42,1,67.0,5.0,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,"Sa96,Br92",6820000000.0,75000000.0,5880000000.0,3410000000.0,7820400000.0,11230400000.0,0.6963598803248326,True,True
NGC1090,4,37.0,9.25,1,64.0,3.0,72.045,0.796,6.36,283.68,3.53,2055.09,8.783,30.49,164.4,3.7,1,Ge04,72045000000.0,796000000.0,8783000000.0,36022500000.0,11681390000.0,47703890000.0,0.24487290239852558,True,True
NGC1705,11,5.73,0.29,2,80.0,10.0,0.533,0.01,0.49,347.4,0.39,587.26,0.139,2.36,71.9,4.3,3,Le14,533000000.0,10000000.0,139000000.0,266500000.0,184870000.0,451370000.0,0.4095752929968762,True,True
NGC2366,10,3.27,0.16,2,68.0,5.0,0.236,0.005,1.08,31.98,0.65,113.98,0.647,6.94,50.2,3.2,3,Le14,236000000.0,5000000.0,647000000.0,118000000.0,860510000.0,978510000.0,0.8794084884160611,True,True
NGC2403,6,3.16,0.16,2,63.0,3.0,10.041,0.028,2.16,341.06,1.39,1408.74,3.199,15.11,131.2,4.9,1,"Da06,Fr02",10041000000.0,28000000.0,3199000000.0,5020500000.0,4254670000.0,9275170000.0,0.4587161205670624,True,True
NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,"Sa96,Br92",80415000000.0,222000000.0,1406000000.0,40207500000.0,1869980000.0,42077480000.0,0.04444134962454976,True,True
NGC2841,3,14.1,1.4,3,76.0,10.0,188.121,0.52,5.51,983.63,3.64,4751.49,9.775,45.12,284.8,8.6,1,"Di08,Be91",188121000000.0,520000000.0,9775000000.0,94060500000.0,13000750000.0,107061250000.0,0.12143282466812222,True,True
NGC2903,4,6.6,1.98,1,66.0,3.0,81.863,0.151,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,5.6,1,"Be91,Be87",81863000000.0,151000000.0,2552000000.0,40931500000.0,3394160000.0,44325660000.0,0.07657325350598276,True,True
NGC2915,11,4.06,0.2,2,56.0,4.0,0.641,0.008,0.53,347.4,0.55,313.93,0.508,7.16,83.5,6.3,2,El10,641000000.0,8000000.0,508000000.0,320500000.0,675640000.0,996140000.0,0.6782580761740318,True,True
NGC2955,3,97.9,9.8,1,56.0,7.0,319.422,4.413,7.22,974.61,18.76,50.68,28.949,40.34,0.0,0.0,1,SG06,319422000000.0,4413000000.0,28949000000.0,159711000000.0,38502170000.0,198213170000.0,0.19424627536101663,False,False
NGC2976,5,3.58,0.18,2,61.0,10.0,3.371,0.019,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,3.3,2,Si03,3371000000.0,19000000.0,172000000.0,1685500000.0,228760000.0,1914260000.0,0.11950309780280631,True,True
NGC2998,5,68.1,10.2,1,58.0,2.0,150.902,2.085,7.06,479.55,6.2,774.16,23.451,43.58,209.9,8.1,1,"Sa96,Br92",150902000000.0,2085000000.0,23451000000.0,75451000000.0,31189830000.0,106640830000.0,0.292475499299846,True,True
NGC3109,9,1.33,0.07,2,70.0,5.0,0.194,0.002,1.64,11.4,1.56,140.87,0.477,6.0,66.2,2.6,1,"Be91,JC90",194000000.0,2000000.0,477000000.0,97000000.0,634410000.0,731410000.0,0.8673794451812253,True,True
NGC3198,5,13.8,1.4,3,73.0,3.0,38.279,0.212,5.84,178.99,3.14,1602.62,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",38279000000.0,212000000.0,10869000000.0,19139500000.0,14455770000.0,33595270000.0,0.43029182381924597,True,True
NGC3521,4,7.7,2.3,1,75.0,5.0,84.836,0.156,2.45,2232.7,2.4,2112.66,4.154,18.85,213.7,15.9,1,"Da06,Sa96",84836000000.0,156000000.0,4154000000.0,42418000000.0,5524820000.0,47942820000.0,0.1152376935691309,True,True
NGC3726,5,18.0,2.5,4,53.0,2.0,70.234,0.388,7.52,198.08,3.4,1789.91,6.473,22.2,168.0,6.2,2,"VS01,SV98",70234000000.0,388000000.0,6473000000.0,35117000000.0,8609090000.0,43726090000.0,0.19688680144966084,True,True
NGC3741,10,3.21,0.17,2,70.0,4.0,0.028,0.001,0.32,42.94,0.2,143.49,0.182,4.2,50.1,2.1,1,"Ge07,Bm05",28000000.0,1000000.0,182000000.0,14000000.0,242060000.0,256060000.0,0.9453253143794423,True,True
NGC3769,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,"VS01,SV98",18679000000.0,189000000.0,5529000000.0,9339500000.0,7353570000.0,16693070000.0,0.44051633402363977,True,True
NGC3877,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,"VS01,SV98",72535000000.0,401000000.0,1483000000.0,36267500000.0,1972390000.0,38239890000.0,0.05157938477333486,True,True
NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",58525000000.0,377000000.0,5799000000.0,29262500000.0,7712670000.0,36975170000.0,0.20859052169334177,True,True
NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",21966000000.0,202000000.0,1888000000.0,10983000000.0,2511040000.0,13494040000.0,0.18608511609569856,True,True
NGC3949,4,18.0,2.5,4,55.0,2.0,38.067,0.28,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,"VS01,SV98",38067000000.0,280000000.0,3371000000.0,19033500000.0,4483430000.0,23516930000.0,0.19064690841874343,True,True
NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",141301000000.0,521000000.0,2832000000.0,70650500000.0,3766560000.0,74417060000.0,0.0506142005610004,True,True
NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",14353000000.0,172000000.0,1214000000.0,7176500000.0,1614620000.0,8791120000.0,0.18366488001528816,True,True
NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",226932000000.0,836000000.0,16599000000.0,113466000000.0,22076670000.0,135542670000.0,0.1628761629086988,True,True
NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",17193000000.0,190000000.0,2832000000.0,8596500000.0,3766560000.0,12363060000.0,0.3046624379401216,True,True
NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",79094000000.0,364000000.0,2967000000.0,39547000000.0,3946110000.0,43493110000.0,0.09072954313913169,True,True
NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",95268000000.0,439000000.0,2697000000.0,47634000000.0,3587010000.0,51221010000.0,0.07003005212119011,True,True
