selection_mode,sample,kernel_variant,outer_fold,n_train_rows,n_test_rows,n_train_galaxies,n_test_galaxies,selected_lambda,selected_kernel_feature,selected_global_model,selected_global_features,selected_ridge_alpha,kernel_stage_inner_rmse,global_stage_inner_rmse,coef_kernel_standardized,coef_radius_standardized,coef_local_disk_standardized,intercept_standardized,elapsed_seconds
frozen_reference,Q12,abs_leave_one_out,1,2243,562,130,33,0.5,log_F__abs_leave_one_out__lam_0p5,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,,0.3469546234151948,0.24220492589238538,-0.05247197782873641,0.07596208811755054,-10.402277450214756,0.030899524688720703
frozen_reference,Q12,abs_leave_one_out,2,2243,562,130,33,0.25,log_F__abs_leave_one_out__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.35836822959134634,0.2664248655261738,-0.08952743723359989,0.03736630980545355,-10.41975258752981,0.02791881561279297
frozen_reference,Q12,abs_leave_one_out,3,2244,561,130,33,0.5,log_F__abs_leave_one_out__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,,0.3340340411802086,0.2492615624042384,-0.06378145328610722,0.05461653635966229,-10.42128324878094,0.04235720634460449
frozen_reference,Q12,abs_leave_one_out,4,2244,561,130,33,0.5,log_F__abs_leave_one_out__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",7.9060432109076855,,0.3242390396183099,0.3284610335578135,-0.08054129508345122,0.05040702672051279,-10.427556068872804,0.04300427436828613
frozen_reference,Q12,abs_self_dlnr,0,2246,559,132,31,0.25,log_F__abs_self_dlnr__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.31693920147395643,0.2552404237343855,-0.07435127213528933,0.059905661216482935,-10.423888070447514,0.04262399673461914
frozen_reference,Q12,abs_self_dlnr,1,2243,562,130,33,0.5,log_F__abs_self_dlnr__lam_0p5,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,,0.3455727475678729,0.2492962880409517,-0.0820714546798106,0.06325271218817871,-10.402277450214756,0.027550697326660156
frozen_reference,Q12,abs_self_dlnr,2,2243,562,130,33,0.25,log_F__abs_self_dlnr__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.35698384355014695,0.2643906020186541,-0.11474082497784105,0.027706589655701646,-10.41975258752981,0.031105995178222656
frozen_reference,Q12,abs_self_dlnr,3,2244,561,130,33,0.5,log_F__abs_self_dlnr__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,,0.3329357459015381,0.24909065188634386,-0.09027400473681502,0.044701600123779196,-10.42128324878094,0.03523373603820801
frozen_reference,Q12,abs_self_dlnr,4,2244,561,130,33,0.5,log_F__abs_self_dlnr__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,,0.32319977148769036,0.30322160179353236,-0.11172853788748684,0.04150409385781074,-10.427556068872804,0.05394315719604492
frozen_reference,Q12,signed_self_uniform,0,2246,559,132,31,0.25,log_F__signed_self_uniform__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",24.420530945486497,,0.3163984826070615,0.2557106945920988,-0.07676406930715206,0.05513594096544104,-10.423888070447514,0.03235793113708496
frozen_reference,Q12,signed_self_uniform,1,2243,562,130,33,0.5,log_F__signed_self_uniform__lam_0p5,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,,0.34442008945063807,0.26705550735846745,-0.08302113819269853,0.05373558199191836,-10.402277450214756,0.03318476676940918
frozen_reference,Q12,signed_self_uniform,2,2243,562,130,33,0.25,log_F__signed_self_uniform__lam_0p25,plus_Mbar_Rdisk,"log_Mbar_Msun,log_Rdisk_kpc",16.768329368110066,,0.35637807633097185,0.2752537294508715,-0.1239477771661666,0.015802770125559615,-10.41975258752981,0.02821946144104004
frozen_reference,Q12,signed_self_uniform,3,2244,561,130,33,0.5,log_F__signed_self_uniform__lam_0p5,plus_global_full,"log_Mbar_Msun,log_Rdisk_kpc,gas_fraction,log_SBdisk_Lsun_pc2",11.513953993264458,,0.3323514092470391,0.2591196345103787,-0.0885672575009567,0.0383774355228776,-10.42128324878094,0.04001426696777344
